state,name,candidate,party,total
Punjab,Bathinda,SUSHIL KUMAR JINDAL,IND,1330
Punjab,Bathinda,KARTAR SINGH,IND,916
Punjab,Bathinda,GURCHARAN SINGH,IND,820
Punjab,Bathinda,JASPAL SINGH,IND,703
Punjab,Bathinda,JAGDEEP SINGH,IND,668
Punjab,Bathinda,JAGDEEP SINGH GEHRI,IND,1665
Punjab,Bathinda,DYAL CHAND,IND,955
Punjab,Bathinda,BHUPESH KUMAR,IND,1487
Punjab,Bathinda,MANPREET SINGH BADAL S/O GURDEV SINGH,IND,4618
Punjab,Bathinda,VIJAY KUMAR,IND,2258
Punjab,Bathinda,None of the Above,NOTA,4701
Punjab,Sangrur,SUKHDEV SINGH DHINDSA,SAD,321516
Punjab,Sangrur,SUKHDEV RAM SHARMA,CPI,6934
Punjab,Sangrur,JOGINDER SINGH AULAKH,CPM,3315
Punjab,Sangrur,MADAN BHATTI,BSP,8408
Punjab,Sangrur,VIJAY INDER SINGLA,INC,181410
Punjab,Sangrur,KARNAIL SINGH,SAD(M),4127
Punjab,Sangrur,GURDEEP SINGH,DBSP,1069
Punjab,Sangrur,GURPREET SINGH,CPI(ML)(L),2746
Punjab,Sangrur,JASWANT SINGH,BMUP,1556
Punjab,Sangrur,JIT SINGH,CPIM,5879
Punjab,Sangrur,BHAGWANT MANN,AAAP,533237
Punjab,Sangrur,MAHMOOD AHMED THIND,IUML,2261
Punjab,Sangrur,SUKHDEV SINGH,IND,1233
Punjab,Sangrur,HARINDER KUMAR,IND,1486
Punjab,Sangrur,KARAM SINGH,IND,1601
Punjab,Sangrur,JOTI DEVAJI ANSUIA,IND,6830
Punjab,Sangrur,DHARAM SINGH,IND,3290
Punjab,Sangrur,PARVEEN KAUR,IND,798
Punjab,Sangrur,BIJENDER,IND,5395
Punjab,Sangrur,BHAGWANT SINGH,IND,2334
Punjab,Sangrur,MANOJ KUMAR,IND,1854
Punjab,Sangrur,None of the Above,NOTA,2188
Punjab,Patiala,DEEPINDER SINGH DHILLON,SAD,340109
Punjab,Patiala,NIRMAL SINGH DHALIWAL,CPI,8537
Punjab,Patiala,PRENEET KAUR,INC,344729
Punjab,Patiala,RAM SINGH DHIMAN,BSP,13014
Punjab,Patiala,AMRIK SINGH,aicp,936
Punjab,Patiala,HARISH KUMAR,SHS,2325
Punjab,Patiala,GURPREET SINGH,BSP(A),2378
Punjab,Patiala,DR. DHARAM VIRA GANDHI,AAAP,365671
Punjab,Patiala,MOHINDER PAL SINGH,SAD(M),2773
Punjab,Patiala,RANJIT KAUR,BGTD,2178
Punjab,Patiala,RANDHIR SINGH,BMUP,1234
Punjab,Patiala,RAVINDER SINGH,BhSMP,1177
Punjab,Patiala,BIBI KAMALDEEP KAUR RAJOANA,IND,15313
Punjab,Patiala,GURBHEJ SINGH,IND,2217
Punjab,Patiala,DHARAM PAL,IND,1271
Punjab,Patiala,PARVEEN KUMAR,IND,4089
Punjab,Patiala,PARVESH BHATEJA,IND,4915
Punjab,Patiala,RAJINDER SINGH PAWAR,IND,1625
Punjab,Patiala,RAMISHER SINGH BILLA,IND,2625
Punjab,Patiala,LAKHWINDER SINGH MALHI,IND,809
Punjab,Patiala,None of the Above,NOTA,3008
Rajasthan,Ganganagar,NIHALCHAND,BJP,658130
Rajasthan,Ganganagar,PALARAM,CPM,14944
Rajasthan,Ganganagar,MASTER BHANWARLAL MEGHWAL,INC,366389
Rajasthan,Ganganagar,AMAR SINGH,BMUP,6686
Rajasthan,Ganganagar,ADVOCATE KARTAR SINGH BAINS,AITC,5025
Rajasthan,Ganganagar,JASVINDER SINGH,JMBP,3395
Rajasthan,Ganganagar,DR. PALUSKAR K. T.,PRCP,5232
Rajasthan,Ganganagar,BALWANT SINGH HARIYALA,BhSMP,5364
Rajasthan,Ganganagar,DR. BALKRISHAN BAWARI,AAAP,40016
Rajasthan,Ganganagar,SHIMLA DEVI NAYAK (ADVOCATE),nuzp,106585
Rajasthan,Ganganagar,SUNIL BHADRWAL,LD,3729
Rajasthan,Ganganagar,HETRAM,RJVP,2943
Rajasthan,Ganganagar,OM PARKASH,IND,3750
Rajasthan,Ganganagar,KUMBHA RAM,IND,3007
Rajasthan,Ganganagar,TITAR SINGH,IND,3924
Rajasthan,Ganganagar,DULICHAND MEGHWAL,IND,11981
Rajasthan,Ganganagar,BALRAJ BAWARI,IND,8788
Rajasthan,Ganganagar,None of the Above,NOTA,6918
Rajasthan,Bikaner,ARJUN RAM MEGHWAL ,BJP,584932
Rajasthan,Bikaner,BHANWAR LAL,BSP,11387
Rajasthan,Bikaner,ER. SHANKAR PANNU,INC,276853
Rajasthan,Bikaner,DR. GAURI SHANKER DAABI,AAAP,14148
Rajasthan,Bikaner,MANGILAL NAYAK,nuzp,16839
Rajasthan,Bikaner,RAM RATAN MEGHWAL,BMUP,2538
Rajasthan,Bikaner,GOPAL BALMIKI,IND,4398
Rajasthan,Bikaner,JAGDISH KUMAR NAYAK,IND,5164
Rajasthan,Bikaner,None of the Above,NOTA,13492
Rajasthan,Churu,ABHINESH MAHARSHI,BSP,301017
Rajasthan,Churu,INDRA SINGH JAT,CPM,10778
Rajasthan,Churu,PRATAP SINGH,INC,176912
Rajasthan,Churu,RAHUL KASWAN ,BJP,595756
Rajasthan,Churu,KRISHAN KUMAR SARAN,AAAP,13977
Rajasthan,Churu,GORDHAN SARSWAT,AITC,3991
Rajasthan,Churu,TORURAM MEGHWAL,BMUP,2054
Rajasthan,Churu,MOHAMMAD ALI KHAN,BA S D,2313
Rajasthan,Churu,SYOPAT RAM,BhSMP,2330
Rajasthan,Churu,AJAY KUMAR,IND,2938
Rajasthan,Churu,RAJPAL,IND,3727
Rajasthan,Churu,SALIM GUJAR,IND,4018
Rajasthan,Churu,None of the Above,NOTA,11293
Rajasthan,Jhunjhunu,RAHISA BANO,BSP,10423
Rajasthan,Jhunjhunu,RAJ BALA OLA,INC,254347
Rajasthan,Jhunjhunu,SANTOSH AHLAWAT,BJP,488182
Rajasthan,Jhunjhunu,URMILA,MEDP,5581
Rajasthan,Jhunjhunu,OM PRAKASH JHARODA,CPI(ML)(L),2506
Rajasthan,Jhunjhunu,GENERAL R S KADYAN,AAAP,10386
Rajasthan,Jhunjhunu,BHAN SINGH,BhSMP,1885
Rajasthan,Jhunjhunu,BHUDAR MAL,AITC,2979
Rajasthan,Jhunjhunu,PRAVEEN KUMAR,IND,1178
Rajasthan,Jhunjhunu,MAHABEER PRASAD KUMAWAT,IND,2932
Rajasthan,Jhunjhunu,DR. RAJKUMAR SHARMA,IND,206288
Rajasthan,Jhunjhunu,RAJBALA,IND,11740
Rajasthan,Jhunjhunu,None of the Above,NOTA,8038
Rajasthan,Sikar,AMARA RAM,CPM,53134
Rajasthan,Sikar,GULAM NABI AZAD,BSP,4112
Rajasthan,Sikar,PRATAP SINGH JAT,INC,260232
Rajasthan,Sikar,SUMEDHANAND SARASWATI ,BJP,499428
Rajasthan,Sikar,SWAMI BHAGIRATH SINGH KHARRANTE BHADHADAR,ABHM,5387
Rajasthan,Sikar,RAMESH SHARMA,bhp,1635
Rajasthan,Sikar,VIMAL INDORIA,JMBP,968
Rajasthan,Sikar,SATISH KUMAR SHARMA,JGP,1058
Rajasthan,Sikar,MAJOR SURENDRA KUMAR PUNIA,AAAP,15666
Rajasthan,Sikar,AJAYPAL,IND,7036
Rajasthan,Sikar,KANHAIYA LAL BALAI,IND,2169
Rajasthan,Sikar,DULI CHAND KUMAWAT,IND,4375
Rajasthan,Sikar,PRATAP SINGH,IND,10666
Rajasthan,Sikar,SUBHASH MAHARIA,IND,188841
Rajasthan,Sikar,SURENDRA KUMAR PHULWARIYA,IND,3633
Rajasthan,Sikar,None of the Above,NOTA,7410
Rajasthan,Jaipur Rural,DR. C.P. JOSHI,INC,300034
Rajasthan,Jaipur Rural,RAJYAVARDHAN SINGH RATHORE ,BJP,632930
Rajasthan,Jaipur Rural,AJAY KUMAR SHARMA,JGP,5774
Rajasthan,Jaipur Rural,ANIL KUMAR,AAAP,6917
Rajasthan,Jaipur Rural,JAGDISH PRASAD,LD,1378
Rajasthan,Jaipur Rural,TEK CHAND SONWAL,APoI,3047
Rajasthan,Jaipur Rural,DHIRAJ GURJAR,SP,1412
Rajasthan,Jaipur Rural,NAVIN PILANIA,NPEP,31617
Rajasthan,Jaipur Rural,NARAYAN LAL PARIHAR,BNNP,1327
Rajasthan,Jaipur Rural,SHAYAM SINGH RATHORE,LS,3722
Rajasthan,Jaipur Rural,DR. OM SINGH MEENA,IND,4520
Rajasthan,Jaipur Rural,KAMAL  KUMAR  GAUR,IND,9480
Rajasthan,Jaipur Rural,None of the Above,NOTA,11533
Rajasthan,Jaipur,D.K. (DEV KRISHAN) CHHANGANI,CPI,15597
Rajasthan,Jaipur,FAROOQ SHAH,BSP,5193
Rajasthan,Jaipur,DR. MAHESH JOSHI,INC,324013
Rajasthan,Jaipur,RAMCHARAN BOHARA,BJP,863358
Rajasthan,Jaipur,ANIL KUMAR SHARMA,JGP,4599
Rajasthan,Jaipur,ABDUL AZIZ BHARTIYA,RUC,1103
Rajasthan,Jaipur,IFTEKAR QURISHI,AIFB,621
Rajasthan,Jaipur,KAILASH CHAND SAINI,HJP,566
Rajasthan,Jaipur,DR. TANMAY,IPGP,893
Rajasthan,Jaipur,NEERU AGARWAL,nuzp,1566
Rajasthan,Jaipur,RAJU LAL BAIRWA,APoI,1899
Rajasthan,Jaipur,DR. VIRENDRA SINGH,AAAP,55118
Rajasthan,Jaipur,PAWAN SINGH SHEKHAWAT,IND,1987
Rajasthan,Jaipur,MUNNA DASS DABODIA,IND,4856
Rajasthan,Jaipur,RAM SINGH RAJ,IND,2072
Rajasthan,Jaipur,HAFIZ KHAN WARSI,IND,5020
Rajasthan,Jaipur,None of the Above,NOTA,8345
Rajasthan,Alwar,AZAD HUSAIN,BSP,19483
Rajasthan,Alwar,CHAND NATH,BJP,642278
Rajasthan,Alwar,BHANWAR JITENDRA SINGH,INC,358383
Rajasthan,Alwar,ARUN KUMAR ROOPAK,NADP,3412
Rajasthan,Alwar,KHOOBRAJ NEERAJ,BMUP,702
Rajasthan,Alwar,KHAIM CHAND,BYS,1187
Rajasthan,Alwar,DR. DASHRATH KUMAR HINUNIA,APoI,3612
Rajasthan,Alwar,CHAUDHARY NASRUDEEN TANWAR,SP(I),662
Rajasthan,Alwar,NISHAR AHMED,JMBP,441
Rajasthan,Alwar,MANGURAM SAIN,ABCD(A),566
Rajasthan,Alwar,MURSHID AHMED,AITC,2160
Rajasthan,Alwar,VIRJANAND,SP,1845
Rajasthan,Alwar,DR VIRENDRA VIDROHI,AAAP,8517
Rajasthan,Alwar,SURESH SHARMA,JGP,2104
Rajasthan,Alwar,KISHAN LAL,IND,2572
Rajasthan,Alwar,JAGDISH PRASAD BAIRWA,IND,3390
Rajasthan,Alwar,RAMESH PANVAL,IND,1227
Rajasthan,Alwar,HARIPRASAD,IND,3580
Rajasthan,Alwar,HARI SINGH SHARMA,IND,3672
Rajasthan,Alwar,None of the Above,NOTA,2512
Rajasthan,BHARATPUR,BAHADUR SINGH KOLI,BJP,579825
Rajasthan,BHARATPUR,MAHENDAR KUMAR JATAV,BSP,22090
Rajasthan,BHARATPUR,DR.SURESH JATAV,INC,334357
Rajasthan,BHARATPUR,AMAR CHAND POHIYA,RJVP,3969
Rajasthan,BHARATPUR,GOPAL PAHARIA,AAAP,7013
Rajasthan,BHARATPUR,LAKHAN SINGH,IPGP,960
Rajasthan,BHARATPUR,VIMLA UMAR,AITC,1792
Rajasthan,BHARATPUR,GHISU LAL,IND,611
Rajasthan,BHARATPUR,PREM CHAND DHAMANI,IND,835
Rajasthan,BHARATPUR,MADHURI PUSHKAR,IND,1187
Rajasthan,BHARATPUR,MAMRAJ,IND,1787
Rajasthan,BHARATPUR,SHEETAL JATAV,IND,2071
Rajasthan,BHARATPUR,None of the Above,NOTA,5935
Rajasthan,Karauli Dholpur,G.R.BARUA,BSP,25150
Rajasthan,Karauli Dholpur,MANOJ RAJORIYA,BJP,402407
Rajasthan,Karauli Dholpur,LAKKHIRAM,INC,375191
Rajasthan,Karauli Dholpur,KAMAL SINGH,AITC,7286
Rajasthan,Karauli Dholpur,GHANSHYAM,AAAP,3726
Rajasthan,Karauli Dholpur,DHANRAJ BAIRWA,SP(I),745
Rajasthan,Karauli Dholpur,PHOOLSINGH,JGP,951
Rajasthan,Karauli Dholpur,RAMESH,BYS,1629
Rajasthan,Karauli Dholpur,RAM SINGH,NPEP,9458
Rajasthan,Karauli Dholpur,SHRELAL KHARE,JMBP,922
Rajasthan,Karauli Dholpur,ASHOK KUMAR,IND,1385
Rajasthan,Karauli Dholpur,KANCHAN BAI,IND,3014
Rajasthan,Karauli Dholpur,KISHOR KUMAR,IND,3376
Rajasthan,Karauli Dholpur,LAXMIKANT,IND,4767
Rajasthan,Karauli Dholpur,None of the Above,NOTA,5934
Rajasthan,Dausa,CHANDU LAL MEENA (GEROTA),BSP,15303
Rajasthan,Dausa,NAMONARAIN MEENA,INC,181272
Rajasthan,Dausa,HARISH CHANDRA MEENA ,BJP,315059
Rajasthan,Dausa,DR. KIRODI LAL,NPEP,269655
Rajasthan,Dausa,KHEMRAJ MEENA,BYS,4297
Rajasthan,Dausa,DHARMI GHUNAWAT,IPGP,1635
Rajasthan,Dausa,RUKMANI MEENA JHAKHIWAL,SP(I),917
Rajasthan,Dausa,DR. SANJEET KUMAR DHANKA,AAAP,3202
Rajasthan,Dausa,SURAJ BHAN DHANKA,SP,2357
Rajasthan,Dausa,ANJALI BHADANA,IND,3072
Rajasthan,Dausa,ANJU DEVI DHANKA,IND,16935
Rajasthan,Dausa,DR. NASEEM GURJAR,IND,5792
Rajasthan,Dausa,BIMLA DEVI MEENA,IND,20037
Rajasthan,Dausa,SHIV PAL GURJAR,IND,82549
Rajasthan,Dausa,None of the Above,NOTA,8410
Rajasthan,TONK-SAWAI MADHOPUR,MOHAMMED AZHARUDDIN,INC,413031
Rajasthan,TONK-SAWAI MADHOPUR,SUKHBIR SINGH JAUNAPURIA ,BJP,548537
Rajasthan,TONK-SAWAI MADHOPUR,SURESH,BSP,10395
Rajasthan,TONK-SAWAI MADHOPUR,JAGMOHAN MEENA,NPEP,14604
Rajasthan,TONK-SAWAI MADHOPUR,DINESH,AITC,2151
Rajasthan,TONK-SAWAI MADHOPUR,DINESH SAINI,JMBP,2210
Rajasthan,TONK-SAWAI MADHOPUR,BAJARANG LAL,RAHM,699
Rajasthan,TONK-SAWAI MADHOPUR,BHAR SINGH,SP(I),703
Rajasthan,TONK-SAWAI MADHOPUR,MUKESH,AAAP,2668
Rajasthan,TONK-SAWAI MADHOPUR,RAMESH CHAND,LD,752
Rajasthan,TONK-SAWAI MADHOPUR,RAM HANS,NADP,869
Rajasthan,TONK-SAWAI MADHOPUR,VARIS ALI,AAP,2363
Rajasthan,TONK-SAWAI MADHOPUR,KAMAL KUMAR DHOBI,IND,1726
Rajasthan,TONK-SAWAI MADHOPUR,KORI LAL,IND,1925
Rajasthan,TONK-SAWAI MADHOPUR,GOVIND PRASAD,IND,3127
Rajasthan,TONK-SAWAI MADHOPUR,CHANDAN LAL MEENA,IND,6523
Rajasthan,TONK-SAWAI MADHOPUR,BABULAL JANGID,IND,7204
Rajasthan,TONK-SAWAI MADHOPUR,MAKKHAN,IND,10523
Rajasthan,TONK-SAWAI MADHOPUR,RAM PARKASH,IND,6186
Rajasthan,TONK-SAWAI MADHOPUR,SAMPATTI BAI ALIAS SUNITA VERMA,IND,1616
Rajasthan,TONK-SAWAI MADHOPUR,SIYA RAM,IND,1105
Rajasthan,TONK-SAWAI MADHOPUR,HARI RAM,IND,1048
Rajasthan,TONK-SAWAI MADHOPUR,None of the Above,NOTA,3673
Rajasthan,Ajmer,JAGDISH,BSP,7974
Rajasthan,Ajmer,SACHIN PILOT,INC,465891
Rajasthan,Ajmer,SANWAR LAL JAT ,BJP,637874
Rajasthan,Ajmer,SANWAR LAL,NCP,12149
Rajasthan,Ajmer,MUKUL MISHRA,ABHM,1869
Rajasthan,Ajmer,RAMLAL,AKBAP,1040
Rajasthan,Ajmer,ANITA JAIN,IND,910
Rajasthan,Ajmer,KRISHNA KUMAR DADHICH,IND,1015
Rajasthan,Ajmer,JAGDISH SINGH RAWAT,IND,1374
Rajasthan,Ajmer,NARAIN DAS SINDHI,IND,3518
Rajasthan,Ajmer,BHANWAR LAL SONI,IND,4970
Rajasthan,Ajmer,SURENDRA KUMAR JAIN,IND,5184
Rajasthan,Ajmer,None of the Above,NOTA,12546
Rajasthan,Nagaur,ABDUL AZIZ,BSP,11239
Rajasthan,Nagaur,C R CHOUDHARY,BJP,414791
Rajasthan,Nagaur,DR JYOTI MIRDHA,INC,339573
Rajasthan,Nagaur,AYUB KHAN,SP,7300
Rajasthan,Nagaur,NEMICHAND,AVIRP,4372
Rajasthan,Nagaur,BHANWAR SINGH RATHORE,AITC,5776
Rajasthan,Nagaur,HANUMANRAM,AAAP,3976
Rajasthan,Nagaur,HARIRAM MEHRADA,BA S D,11352
Rajasthan,Nagaur,CHHOTURAM,IND,15234
Rajasthan,Nagaur,MULARAM,IND,4332
Rajasthan,Nagaur,SUNIL,IND,5251
Rajasthan,Nagaur,HANUMAN BENIWAL,IND,159980
Rajasthan,Nagaur,HARIRAM,IND,8658
Rajasthan,Nagaur,None of the Above,NOTA,12185
Rajasthan,Pali,P P CHAUDHARY,BJP,711772
Rajasthan,Pali,BHOJRAJ,BSP,16469
Rajasthan,Pali,MUNNI DEVI GODARA,INC,312733
Rajasthan,Pali,JAGDISH,BMUP,7186
Rajasthan,Pali,DEV KISHAN DEHIYA,MEDP,1264
Rajasthan,Pali,MAHESH BHANDARI,AAAP,5031
Rajasthan,Pali,SHOBHARAM MALI,JMBP,2825
Rajasthan,Pali,UDARAM,IND,2058
Rajasthan,Pali,OM PRAKASH MALI,IND,3306
Rajasthan,Pali,KANHAIYALAL PAREEK,IND,1890
Rajasthan,Pali,DINESH MEV,IND,2358
Rajasthan,Pali,DR. RAMLAL MOHBARSHA,IND,5794
Rajasthan,Pali,SHER SINGH SAFA,IND,5198
Rajasthan,Pali,None of the Above,NOTA,17703
Rajasthan,Jodhpur,GAJENDRASINGH SHEKHAWAT ,BJP,713515
Rajasthan,Jodhpur,GOPARAM MEGHWAL,BSP,13511
Rajasthan,Jodhpur,CHANDRESH KUMARI,INC,303464
Rajasthan,Jodhpur,DHANRAJ GEHLOT,JMBP,7104
Rajasthan,Jodhpur,RAVI GARG,BNNP,1206
Rajasthan,Jodhpur,VIGYAN MODI,AAAP,8552
Rajasthan,Jodhpur,JAYDA,IND,718
Rajasthan,Jodhpur,JETHARAM MEGHWAL,IND,831
Rajasthan,Jodhpur,DUNGAR MAL PUNIYA,IND,1041
Rajasthan,Jodhpur,MEHMOODA BEGAM ABBASI,IND,2631
Rajasthan,Jodhpur,RAM DAYAL,IND,2321
Rajasthan,Jodhpur,RUGHA RAM CHOUDHARY ADVOCATE,IND,4855
Rajasthan,Jodhpur,SOHAN LAL GOYAL,IND,3764
Rajasthan,Jodhpur,None of the Above,NOTA,15085
Rajasthan,Barmer,MALAM SINGH ,BSP,12883
Rajasthan,Barmer,COL. SONA RAM,BJP,488747
Rajasthan,Barmer,HARISH CHAUDHARY,INC,220881
Rajasthan,Barmer,MANGILAL GAUR,AAAP,14906
Rajasthan,Barmer,MAHANT ARJUNPURI,IND,6380
Rajasthan,Barmer,KHET SINGH RAJPUROHIT,IND,12366
Rajasthan,Barmer,JASWANT SINGH,IND,401286
Rajasthan,Barmer,POPATRAM,IND,7557
Rajasthan,Barmer,BABULAL,IND,6737
Rajasthan,Barmer,MASTER BHAIRARAM MEGHWAL,IND,13924
Rajasthan,Barmer,RAMA RAM,IND,17563
Rajasthan,Barmer,None of the Above,NOTA,15889
Rajasthan,Jalore,ANJANA UDAI LAL,INC,199363
Rajasthan,Jalore,OTARAM,BSP,29998
Rajasthan,Jalore,DEVJI PATEL ,BJP,580508
Rajasthan,Jalore,CHHAGANARAM / PRHALAD,HJP,15811
Rajasthan,Jalore,CHHAGANARAM / BHALARAM,BMUP,3960
Rajasthan,Jalore,RAN SINGH RAJPUROHIT,JGP,2731
Rajasthan,Jalore,SUKH DEV,AAP,2017
Rajasthan,Jalore,TARUN KUMAR,IND,2596
Rajasthan,Jalore,NARINGA RAM YADAV,IND,3200
Rajasthan,Jalore,NARAYAN LAL,IND,9875
Rajasthan,Jalore,S. BUTA SINGH,IND,175344
Rajasthan,Jalore,BHANWAR LAL WAGHELA,IND,4817
Rajasthan,Jalore,MANARA RAM,IND,6146
Rajasthan,Jalore,MAHENDRA K. CHOUDHARY,IND,13008
Rajasthan,Jalore,MOOLA RAM,IND,10316
Rajasthan,Jalore,SHANKAR LAL DARJI,IND,16399
Rajasthan,Jalore,None of the Above,NOTA,11183
Rajasthan,Udaipur,ARJUNLAL MEENA ,BJP,660373
Rajasthan,Udaipur,MEGHRAJ TAWAR,CPI,33743
Rajasthan,Udaipur,RAGHUVIR SINGH,INC,423611
Rajasthan,Udaipur,LAXMAN BHIL,BSP,20690
Rajasthan,Udaipur,GOTAM LAL MEENA,CPI(ML)(L),5442
Rajasthan,Udaipur,PRABHU LAL MEENA,BMUP,4529
Rajasthan,Udaipur,LAXMILAL GAMETI,SP(I),6680
Rajasthan,Udaipur,DR. VELARAM MEENA,AAAP,11449
Rajasthan,Udaipur,None of the Above,NOTA,26685
Rajasthan,Banswara,MANSHANKAR NINAMA ,BJP,577433
Rajasthan,Banswara,RESHAM MALVIYA,INC,485517
Rajasthan,Banswara,VIJAYPAL,BSP,27886
Rajasthan,Banswara,BHANJI BHAI,JD(U),21760
Rajasthan,Banswara,SOMA LAL KOTED,BMUP,10541
Rajasthan,Banswara,HARISH RAWAT,AAAP,13647
Rajasthan,Banswara,None of the Above,NOTA,34404
Rajasthan,Chittorgarh,GIRIJA VYAS,INC,386379
Rajasthan,Chittorgarh,CHANDRA PRAKASH JOSHI,BJP,703236
Rajasthan,Chittorgarh,RADHA DEVI,CPI,21593
Rajasthan,Chittorgarh,SANJAY KUMAR,BSP,4467
Rajasthan,Chittorgarh,DR. NARENDRA KUMAR GUPTA,AAAP,5939
Rajasthan,Chittorgarh,PRABHU LAL GUJJAR,JMBP,1216
Rajasthan,Chittorgarh,MANGI LAL SOLANKI,BMUP,1291
Rajasthan,Chittorgarh,VIJAYA RAY,RJVP,1240
Rajasthan,Chittorgarh,SHANTI LAL TRIVEDI,CPI(ML)(L),1564
Rajasthan,Chittorgarh,GULAB CHAND SAHLOT,IND,1692
Rajasthan,Chittorgarh,BABU MEGHWAL,IND,3069
Rajasthan,Chittorgarh,BHANWAR LAL,IND,3263
Rajasthan,Chittorgarh,MOHAMMAD IMTIYAZ,IND,4971
Rajasthan,Chittorgarh,YASHWANT PURI,IND,12675
Rajasthan,Chittorgarh,None of the Above,NOTA,20034
Rajasthan,Rajsamand,GOPAL SINGH SHEKHAWAT,INC,249089
Rajasthan,Rajsamand,NEERU RAM JAT,BSP,14579
Rajasthan,Rajsamand,HARIOM SINGH RATHORE,BJP,644794
Rajasthan,Rajsamand,IDRISH MOHAMMAD,JGP,10407
Rajasthan,Rajsamand,GULAM FARID,SP,2977
Rajasthan,Rajsamand,PRADEEP SINGH BHATNAGAR,AAAP,4897
Rajasthan,Rajsamand,LAXMAN,JMBP,1392
Rajasthan,Rajsamand,KHIMARAM SALVI,IND,2559
Rajasthan,Rajsamand,BHANWAR LAL MALI,IND,6418
Rajasthan,Rajsamand,SANJAY CHOUDHARY,IND,12479
Rajasthan,Rajsamand,SURYA BHAWANI SINGH CHAWARA,IND,10160
Rajasthan,Rajsamand,HEERA KATHAT,IND,5186
Rajasthan,Rajsamand,None of the Above,NOTA,17182
Rajasthan,Bhilwara,ASHOK CHANDNA,INC,384053
Rajasthan,Bhilwara,GOVIND KUMAR BAIRWA,BSP,15088
Rajasthan,Bhilwara,SUBHASH BAHERIA,BJP,630317
Rajasthan,Bhilwara,CHANDRA PRAKASH GOCHER,BYS,10344
Rajasthan,Bhilwara,RADHY SHYAM VAISHNAV,BA S D,5684
Rajasthan,Bhilwara,SUNIL AGIWAL,AAAP,5909
Rajasthan,Bhilwara,ASLAM SHEKH ADVOCATE,IND,1794
Rajasthan,Bhilwara,RATAN LAL DHOBI,IND,7110
Rajasthan,Bhilwara,SHYAM LAL SALVI,IND,5374
Rajasthan,Bhilwara,SATYA PRAKASH SHARMA,IND,11982
Rajasthan,Bhilwara,SURENDAR SINGH RANAWAT,IND,6737
Rajasthan,Bhilwara,None of the Above,NOTA,19698
Rajasthan,Kota,ASHOK KUMAR,BSP,10862
Rajasthan,Kota,IJYARAJ SINGH,INC,444040
Rajasthan,Kota,OM BIRLA ,BJP,644822
Rajasthan,Kota,AJMAT ALI,BYS,7559
Rajasthan,Kota,ASHOK KUMAR JAIN,AAAP,16981
Rajasthan,Kota,MAHESH KUMAR RANIWAL,AVIRP,1010
Rajasthan,Kota,RAJESH KUMAR,JMBP,1168
Rajasthan,Kota,ASFAK ALI,IND,1713
Rajasthan,Kota,TEJPAL,IND,1825
Rajasthan,Kota,MAHENDRA KUMAR,IND,2307
Rajasthan,Kota,MOHAN LAL MAHAWAR,IND,4822
Rajasthan,Kota,SHYAM SUNDER SHARMA,IND,5091
Rajasthan,Kota,None of the Above,NOTA,12760
Rajasthan,JHALAWAR BARAN,CHANDRA SINGH,BSP,23587
Rajasthan,JHALAWAR BARAN,DUSHYANT SINGH,BJP,676102
Rajasthan,JHALAWAR BARAN,PRAMOD BHAYA,INC,394556
Rajasthan,JHALAWAR BARAN,JAVED KHAN,BYS,13617
Rajasthan,JHALAWAR BARAN,BALDAR,IND,7836
Rajasthan,JHALAWAR BARAN,SULEMAN PUTA,IND,11602
Rajasthan,JHALAWAR BARAN,None of the Above,NOTA,19064
Sikkim,Sikkim,AKAR DHOJ LIMBU,INC,7189
Sikkim,Sikkim,NAR BAHADUR KHATIWADA,BJP,7279
Sikkim,Sikkim,PREM DAS RAI,SDF,163698
Sikkim,Sikkim,KAUSHAL RAI,AAAP,2541
Sikkim,Sikkim,NAKUL DAS RAI,AITC,1972
Sikkim,Sikkim,TEK NATH DHAKAL,SKM,121956
Sikkim,Sikkim,None of the Above,NOTA,4332
Tamil Nadu,Thiruvallur ,KANNAN A.S,CPI,13794
Tamil Nadu,Thiruvallur ,SATHYAMURTHY.C,BSP,11137
Tamil Nadu,Thiruvallur ,YUVARAJ.V,DMDK,204734
Tamil Nadu,Thiruvallur ,VENUGOPAL.P.(DR),ADMK,628499
Tamil Nadu,Thiruvallur ,JAYAKUMAR.M,INC,43960
Tamil Nadu,Thiruvallur ,SRINIVASAN.D,SP,2642
Tamil Nadu,Thiruvallur ,BALAMURUGAN.B,AAAP,8260
Tamil Nadu,Thiruvallur ,RAVIKUMAR.D,VCK,305069
Tamil Nadu,Thiruvallur ,CHANDRASEKARAN.M,IND,1597
Tamil Nadu,Thiruvallur ,SURESH KUMAR.S,IND,1062
Tamil Nadu,Thiruvallur ,DOSS.R,IND,1596
Tamil Nadu,Thiruvallur ,RAVIKUMAR.M,IND,2966
Tamil Nadu,Thiruvallur ,VETRISELVAM.K,IND,2441
Tamil Nadu,Thiruvallur ,VENUGOPAL.P,IND,3085
Tamil Nadu,Thiruvallur ,None of the Above,NOTA,23598
Tamil Nadu,Chennai North,GIRIRAJAN .R,DMK,307000
Tamil Nadu,Chennai North,SOUNDARAPANDIAN .M,DMDK,86989
Tamil Nadu,Chennai North,BIJU CHACKO,INC,24190
Tamil Nadu,Chennai North,VASUKI .U,CPM,23751
Tamil Nadu,Chennai North,VENKATESH BABU .T.G,ADMK,406704
